Year,Category,Film,FilmId,Winner,Nominees,Song
1937,Best Leading Actress,The Good Earth,tt0028944,TRUE,Luise Rainer,O-Lan
1937,Best Leading Actress,Stella Dallas,tt0029608,,Barbara Stanwyck,Stella Dallas
1937,Best Original Screenplay,Black Legion,tt0027367,,Robert Lord,
1937,Best Original Screenplay,In Old Chicago,tt0029047,,Niven Busch,
1937,Best Original Screenplay,The Life of Emile Zola,tt0029146,,"Heinz Herald, Geza Herczeg",
1937,Best Original Screenplay,One Hundred Men and a Girl,tt0029347,,Hans Kraly,
1937,Best Original Screenplay,A Star Is Born,tt0029606,TRUE,"William A. Wellman, Robert Carson",
1937,Best Original Song,Mr. Dodd Takes the Air,tt0029267,,Music by Harry Warren; Lyrics by Al Dubin,Remember Me
1937,Best Original Song,Waikiki Wedding,tt0029742,TRUE,Music and Lyrics by Harry Owens,Sweet Leilani
1937,Best Original Song,Walter Wanger's Vogues of 1938,tt0029737,,Music by Sammy Fain; Lyrics by Lew Brown,That Old Feeling
1937,Best Original Song,Shall We Dance,tt0029546,,Music by George Gershwin; Lyrics by Ira Gershwin,They Can't Take That Away From Me
1937,Best Original Song,Artists and Models,tt0028587,,Music by Frederick Hollander; Lyrics by Leo Robin,Whispers In The Dark
1937,Best Picture,The Awful Truth,tt0028597,,Columbia,
1937,Best Picture,Captains Courageous,tt0028691,,Metro-Goldwyn-Mayer,
1937,Best Picture,Dead End,tt0028773,,Samuel Goldwyn Productions,
1937,Best Picture,The Good Earth,tt0028944,,Metro-Goldwyn-Mayer,
1937,Best Picture,In Old Chicago,tt0029047,,20th Century-Fox,
1937,Best Picture,The Life of Emile Zola,tt0029146,TRUE,Warner Bros.,
1937,Best Picture,Lost Horizon,tt0029162,,Columbia,
1937,Best Picture,One Hundred Men and a Girl,tt0029347,,Universal,
1937,Best Picture,Stage Door,tt0029604,,RKO Radio,
1937,Best Picture,A Star Is Born,tt0029606,,Selznick International Pictures,
1937,Best Production Design,Conquest,tt0028739,,"Cedric Gibbons, William Horning",
1937,Best Production Design,A Damsel in Distress,tt0028757,,Carroll Clark,
1937,Best Production Design,Dead End,tt0028773,,Richard Day,
